Línea 1,Texto 1,Línea 2,Texto 2,Similitud (%)
3509,TRANSPORTES HG,3511,TRANSPORTES JC,85.71%
3509,TRANSPORTES HG,3517,TRANSPORTES MT,85.71%
3511,TRANSPORTES JC,3517,TRANSPORTES MT,85.71%
3514,TRANSPORTES MATUS,3517,TRANSPORTES MT,90.32%
3523,TRANSPORTES SERRANO S.R.L,3551,TRASPORTE SERRANO SRL,91.30%
3528,TRANSTUR,3529,TRANSUR,93.33%
3530,TRANSUR 10 DE JUNIIO,3531,TRANSUR 10 DE JUNIO,97.44%
3530,TRANSUR 10 DE JUNIIO,3533,TRANSUR 10 DE JUNIO SRL,88.37%
3530,TRANSUR 10 DE JUNIIO,3532,TRANSUR 10 DE JUNIO  SRL,86.36%
3531,TRANSUR 10 DE JUNIO,3533,TRANSUR 10 DE JUNIO SRL,90.48%
3531,TRANSUR 10 DE JUNIO,3532,TRANSUR 10 DE JUNIO  SRL,88.37%
3532,TRANSUR 10 DE JUNIO  SRL,3533,TRANSUR 10 DE JUNIO SRL,97.87%
3532,TRANSUR 10 DE JUNIO  SRL,3534,TRANSUR 10 JUNIO S.R.L,86.96%
3533,TRANSUR 10 DE JUNIO SRL,3534,TRANSUR 10 JUNIO S.R.L,88.89%
3554,TRAVEL AUSTRAL,3577,TRAVELS  AUSTRAL,93.33%
3560,TRAVEL LAC,3561,TRAVEL LAG,90.00%
3563,TRAVEL ROCK,3564,TRAVEL ROCK,100.00%
3566,TRAVEL SRL,3567,TRAVEL SRL,100.00%
3566,TRAVEL SRL,3568,TRAVEL SUR,90.00%
3566,TRAVEL SRL,3575,TRAVELLER SRL,86.96%
3567,TRAVEL SRL,3568,TRAVEL SUR,90.00%
3567,TRAVEL SRL,3575,TRAVELLER SRL,86.96%
3568,TRAVEL SUR,3571,TRAVEL TOUR,85.71%
3571,TRAVEL TOUR,3578,TRAVELTUR,90.00%
3573,TRAVELELR,3574,TRAVELLER,88.89%
3590,TRNSP GONZALEZ,3595,TRSGONZALEZ,88.00%
3596,TRURISMO ILUCION,3745,TURISMO ILUCION,96.77%
3596,TRURISMO ILUCION,3693,TURISMO CIUCIO,86.67%
3604,TUCAN TRAVEL,3606,TUCANO TRAVEL,96.00%
3604,TUCAN TRAVEL,3607,TUCANTRAVEL,95.65%
3606,TUCANO TRAVEL,3607,TUCANTRAVEL,91.67%
3610,TUISMO BRAVO,3678,TURISMO BRAVO,96.00%
3615,TUR BUS,3616,TUR BUS,100.00%
3615,TUR BUS,3625,TURBUS,92.31%
3615,TUR BUS,3634,TURIN BUS,87.50%
3615,TUR BUS,3630,TURIBUS,85.71%
3616,TUR BUS,3625,TURBUS,92.31%
3616,TUR BUS,3634,TURIN BUS,87.50%
3616,TUR BUS,3630,TURIBUS,85.71%
3619,TUR LOP,3620,TUR LUP,85.71%
3620,TUR LUP,3867,TURLUP,92.31%
3625,TURBUS,3630,TURIBUS,92.31%
3628,TURI BAR,3629,TURIBAR,93.33%
3630,TURIBUS,3634,TURIN BUS,87.50%
3634,TURIN BUS,3635,TURING BUS,94.74%
3636,TURIS GARVAL,3644,TURISGARVAL,95.65%
3636,TURIS GARVAL,3639,TURIS VAL,85.71%
3637,TURIS TOUR,3638,TURIS TUR,94.74%
3637,TURIS TOUR,3862,TURISTOUR,94.74%
3638,TURIS TUR,3862,TURISTOUR,88.89%
3638,TURIS TUR,3863,TURISUR,87.50%
3639,TURIS VAL,3865,TURISVAL,94.12%
3639,TURIS VAL,3866,TURIVAL,87.50%
3641,TURISA,3649,TURISMAR,85.71%
3641,TURISA,3865,TURISVAL,85.71%
3642,TURISCOLL,3859,TURISOL,87.50%
3646,TURISM,3650,TURISMO,92.31%
3646,TURISM,3651,TURISMO,92.31%
3646,TURISM,3649,TURISMAR,85.71%
3647,TURISM CENTURION,3690,TURISMO CENTURION,96.97%
3650,TURISMO,3651,TURISMO,100.00%
3650,TURISMO,3851,TURISMOLS,87.50%
3650,TURISMO,3859,TURISOL,85.71%
3651,TURISMO,3851,TURISMOLS,87.50%
3651,TURISMO,3859,TURISOL,85.71%
3659,TURISMO ALGARROBAL,3660,TURISMO ALGARROBAL,100.00%
3662,TURISMO ANCALLE,3686,TURISMO CALLE,92.86%
3665,TURISMO ATUI,3852,TURISMOS ATUI,96.00%
3665,TURISMO ATUI,3683,TURISMO CAITI,88.00%
3665,TURISMO ATUI,3766,TURISMO LAURI,88.00%
3665,TURISMO ATUI,3666,TURISMO ATY,86.96%
3665,TURISMO ATUI,3750,TURISMO JAI,86.96%
3670,TURISMO AYELEN,3803,TURISMO RAYEN,88.89%
3675,TURISMO BB,3680,TURISMO BYB,95.24%
3676,TURISMO BERSUR,3835,TURISMO SUR,88.00%
3676,TURISMO BERSUR,3836,TURISMO SUR,88.00%
3681,TURISMO C.A.E,3682,TURISMO CAE,91.67%
3682,TURISMO CAE,3686,TURISMO CALLE,91.67%
3682,TURISMO CAE,3685,TURISMO CAL,90.91%
3682,TURISMO CAE,3696,TURISMO CLAVEL,88.00%
3682,TURISMO CAE,3700,TURISMO CREA,86.96%
3682,TURISMO CAE,3814,TURISMO ROCA,86.96%
3682,TURISMO CAE,3732,TURISMO GC,85.71%
3683,TURISMO CAITI,3684,TURISMO CAITII,96.30%
3685,TURISMO CAL,3686,TURISMO CALLE,91.67%
3685,TURISMO CAL,3849,TURISMO WAL,90.91%
3685,TURISMO CAL,3687,TURISMO CAMILA,88.00%
3685,TURISMO CAL,3696,TURISMO CLAVEL,88.00%
3685,TURISMO CAL,3831,TURISMO SOCIAL,88.00%
3685,TURISMO CAL,3832,TURISMO SOCIAL,88.00%
3685,TURISMO CAL,3700,TURISMO CREA,86.96%
3685,TURISMO CAL,3814,TURISMO ROCA,86.96%
3685,TURISMO CAL,3732,TURISMO GC,85.71%
3693,TURISMO CIUCIO,3745,TURISMO ILUCION,89.66%
3694,TURISMO CIV,3732,TURISMO GC,85.71%
3695,TURISMO CLAUDIO,3766,TURISMO LAURI,85.71%
3697,TURISMO CORONEL,3774,TURISMO LUIS CORONEL,85.71%
3700,TURISMO CREA,3846,TURISMO URETA,88.00%
3700,TURISMO CREA,3813,TURISMO ROA,86.96%
3703,TURISMO DE LA PARRA,3705,TURISMO DEL LA PARRA,97.44%
